iter	Passed	Remaining
0	1	509
1	3	576
2	4	508
3	6	587
4	9	638
5	11	632
6	12	629
7	14	620
8	15	599
9	17	585
10	18	584
11	20	572
12	22	581
13	24	595
14	26	589
15	27	578
16	29	575
17	30	566
18	32	559
19	33	558
20	34	547
21	36	541
22	38	545
23	40	554
24	42	554
25	44	552
26	45	549
27	47	547
28	49	542
29	50	538
30	51	533
31	52	525
32	54	527
33	56	527
34	58	522
35	59	519
36	61	516
37	62	510
38	63	507
39	65	505
40	66	501
41	68	499
42	69	495
43	71	498
44	73	500
45	75	498
46	77	496
47	78	494
48	80	492
49	82	492
50	84	496
51	86	497
52	89	501
53	91	501
54	93	500
55	94	495
56	95	491
57	96	488
58	98	484
59	99	478
60	100	476
61	102	474
62	104	477
63	106	475
64	107	471
65	108	468
66	110	465
67	111	462
68	112	458
69	114	456
70	115	453
71	117	452
72	118	448
73	120	450
74	122	450
75	124	449
76	126	448
77	127	446
78	129	443
79	130	441
80	132	439
81	133	436
82	135	434
83	137	435
84	138	432
85	140	430
86	142	430
87	143	427
88	144	425
89	146	424
90	148	421
91	149	418
92	150	416
93	153	417
94	155	416
95	156	414
96	157	411
97	159	409
98	161	409
99	163	407
100	165	407
101	166	404
102	168	405
103	170	403
104	172	402
105	174	401
106	175	399
107	177	397
108	178	395
109	180	393
110	181	391
111	183	389
112	185	389
113	188	389
114	190	388
115	191	386
116	193	384
117	194	382
118	195	380
119	197	378
120	198	376
121	201	376
122	203	375
123	205	374
124	207	372
125	209	371
126	209	368
127	211	366
128	212	364
129	214	362
130	215	360
131	218	360
132	219	358
133	221	357
134	222	354
135	223	352
136	225	350
137	226	348
138	227	345
139	229	344
140	230	341
141	232	339
142	234	339
143	236	338
144	238	336
145	239	334
146	241	333
147	242	331
148	244	329
149	245	327
150	246	325
151	248	323
152	251	323
153	252	321
154	254	320
155	256	319
156	258	317
157	259	315
158	260	313
159	262	311
160	263	309
161	266	308
162	267	307
163	269	305
164	271	303
165	272	301
166	273	300
167	275	298
168	277	296
169	278	294
170	279	292
171	282	292
172	284	291
173	286	289
174	288	288
175	290	286
176	291	284
177	292	282
178	294	280
179	295	278
180	296	277
181	298	275
182	300	273
183	301	271
184	302	269
185	304	268
186	305	266
187	307	264
188	308	262
189	310	261
190	312	260
191	315	259
192	317	258
193	318	256
194	320	254
195	322	253
196	323	251
197	325	249
198	326	247
199	328	246
200	330	244
201	332	243
202	334	241
203	335	240
204	337	238
205	339	237
206	340	235
207	342	233
208	343	231
209	345	230
210	347	229
211	350	227
212	351	226
213	353	224
214	355	222
215	356	221
216	358	219
217	359	217
218	360	215
219	363	214
220	365	213
221	366	211
222	368	210
223	370	208
224	371	206
225	373	204
226	375	203
227	376	201
228	379	200
229	381	198
230	382	197
231	384	195
232	386	194
233	389	192
234	390	191
235	392	189
236	394	187
237	398	187
238	399	185
239	401	183
240	402	182
241	404	180
242	406	178
243	407	177
244	409	175
245	412	174
246	414	172
247	416	171
248	417	169
249	419	167
250	421	166
251	423	164
252	424	162
253	426	161
254	428	159
255	429	157
256	431	156
257	432	154
258	433	152
259	434	150
260	436	148
261	437	147
262	439	145
263	441	143
264	443	142
265	446	140
266	447	139
267	449	137
268	450	135
269	452	134
270	453	132
271	454	130
272	456	128
273	458	127
274	460	125
275	462	123
276	463	122
277	465	120
278	466	118
279	468	117
280	469	115
281	471	113
282	473	111
283	474	110
284	477	108
285	478	107
286	480	105
287	481	103
288	483	102
289	484	100
290	486	98
291	487	96
292	489	95
293	492	93
294	494	92
295	496	90
296	497	88
297	499	87
298	500	85
299	502	83
300	504	82
301	505	80
302	508	78
303	511	77
304	512	75
305	514	73
306	516	72
307	517	70
308	519	68
309	521	67
310	523	65
311	525	64
312	527	62
313	529	60
314	530	58
315	532	57
316	533	55
317	535	53
318	537	52
319	539	50
320	541	48
321	542	47
322	544	45
323	545	43
324	547	42
325	548	40
326	549	38
327	551	37
328	553	35
329	554	33
330	557	31
331	559	30
332	560	28
333	562	26
334	563	25
335	565	23
336	566	21
337	568	20
338	569	18
339	572	16
340	574	15
341	576	13
342	577	11
343	579	10
344	580	8
345	582	6
346	583	5
347	585	3
348	587	1
349	589	0
