id,ticker,stock_name,alpha_score,tech_score,ml_prob,whale_score,fund_status,trend,market_type,created_at,tier,volume,context,surge,win_rate,position,strategy,decision_score,run_id,priority_rank,decision,decision_bucket,outcome_status,recommended_at,outcome_recorded_at,horizon,base_trade_date,entry_reference_price,latest_return_pct,return_1d_pct,return_2d_pct,return_3d_pct,return_5d_pct,source_ref,scan_mode,return_30m_pct,return_1h_pct,return_close_pct,strategy_family,return_7d_pct,price_band,is_sub7,max_return_observed_pct,label_win_close,label_win_1d,label_win_3d,label_hit_5pct,label_hit_10pct,label_hit_20pct,label_hit_50pct,label_hit_100pct
1670,BTG,BTG,62.0,85.0,74.4,55.0,US,DOWN,AMEX,2026-04-02T00:43:41.789723+00:00,⭐T2,⚠️ x1.0,-,-,51%,💤 조정 (Resting),🚀 AMEX Moonshot | Sub-$7 | 🎣 RSI_DIV,69.4,,,,unknown,,,,,,,,,,,,,SWING,,,,AMEX_MOONSHOT,,unknown,0,,0,0,0,0,0,0,0,0
1671,BTG,BTG,,,,,,,AMEX,2026-04-01T15:43:44.412235+00:00,,,,,,,planner_handoff.watchlist_meta#BTG,,RUN-3FCF15D8,1.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-01T15:43:44.412235+00:00,,T+2D,,4.7898998260498,,,,,,planner_handoff.watchlist_meta#BTG,SWING,,,,AMEX_MOONSHOT,,le_7,1,,0,0,0,0,0,0,0,0
760,EAD,EAD,51.0,60.0,72.8,75.0,US,DOWN,AMEX,2026-04-01T14:39:12.93483+00:00,T3,✅ x3.3,-,-,49%,💤 조정 (Resting),planner_handoff.watchlist_meta#EAD,73.2,RUN-FCBF4309,3.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-01T14:39:12.93483+00:00,,T+2D,,6.52500009536743,,,,,,planner_handoff.watchlist_meta#EAD,SWING,,,,AMEX_MOONSHOT,,le_7,1,,0,0,0,0,0,0,0,0
761,FTF,FTF,67.0,90.0,67.9,85.0,US,DOWN,AMEX,2026-04-01T14:39:12.93483+00:00,⭐T2,✅ x1.8,-,-,49%,🌋 고점 (Peak),planner_handoff.watchlist_meta#FTF,91.2,RUN-FCBF4309,1.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-01T14:39:12.93483+00:00,,T+2D,,5.89499998092651,,,,,,planner_handoff.watchlist_meta#FTF,SWING,,,,AMEX_MOONSHOT,,le_7,1,,0,0,0,0,0,0,0,0
744,INFU,InfuSystem Holdings Inc,,,,,,,AMEX,2026-04-01T14:30:11.250959+00:00,,,,,,,,,RUN-87E8A5C8,5.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-01T14:30:11.250959+00:00,,T+2D,,,,,,,,planner_handoff.watchlist_meta#INFU,SWING,,,,AMEX_MOONSHOT,,unknown,0,,0,0,0,0,0,0,0,0
743,CIK,Credit Suisse Asset Management Income Closed Fund,,,,,,,AMEX,2026-04-01T14:30:11.250959+00:00,,,,,,,,,RUN-87E8A5C8,4.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-01T14:30:11.250959+00:00,,T+2D,,,,,,,,planner_handoff.watchlist_meta#CIK,SWING,,,,AMEX_MOONSHOT,,unknown,0,,0,0,0,0,0,0,0,0
740,GORO,Gold Resource Corp,,,,,,,AMEX,2026-04-01T14:30:11.250959+00:00,,,,,,,,,RUN-87E8A5C8,1.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-01T14:30:11.250959+00:00,,T+2D,,,,,,,,planner_handoff.watchlist_meta#GORO,SWING,,,,AMEX_MOONSHOT,,unknown,0,,0,0,0,0,0,0,0,0
741,INTT,inTest Corp,,,,,,,AMEX,2026-04-01T14:30:11.250959+00:00,,,,,,,,,RUN-87E8A5C8,2.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-01T14:30:11.250959+00:00,,T+2D,,,,,,,,planner_handoff.watchlist_meta#INTT,SWING,,,,AMEX_MOONSHOT,,unknown,0,,0,0,0,0,0,0,0,0
742,NRXS,Neuraxis Inc,,,,,,,AMEX,2026-04-01T14:30:11.250959+00:00,,,,,,,,,RUN-87E8A5C8,3.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-01T14:30:11.250959+00:00,,T+2D,,,,,,,,planner_handoff.watchlist_meta#NRXS,SWING,,,,AMEX_MOONSHOT,,unknown,0,,0,0,0,0,0,0,0,0
745,SIF,SIFCO Industries Inc,,,,,,,AMEX,2026-04-01T14:30:11.250959+00:00,,,,,,,,,RUN-87E8A5C8,6.0,WATCHLIST_ONLY,watchlist,PENDING,2026-04-01T14:30:11.250959+00:00,,T+2D,,,,,,,,planner_handoff.watchlist_meta#SIF,SWING,,,,AMEX_MOONSHOT,,unknown,0,,0,0,0,0,0,0,0,0
