id,ticker,stock_name,alpha_score,tech_score,ml_prob,whale_score,fund_status,trend,market_type,created_at,tier,volume,context,surge,win_rate,position,strategy,decision_score,run_id,priority_rank,decision,decision_bucket,outcome_status,recommended_at,outcome_recorded_at,horizon,base_trade_date,entry_reference_price,latest_return_pct,return_1d_pct,return_2d_pct,return_3d_pct,return_5d_pct,source_ref,scan_mode,return_30m_pct,return_1h_pct,return_close_pct,strategy_family,return_7d_pct,market,quality_flags,validation_excluded,phase25_variant,phase25_shadow_variant,phase25_shadow_prob,phase25_recommended_threshold,primary_theme,theme_source,theme_inference_status,secondary_themes,theme_routing_path,expected_edge_score,expected_return_1d_pct,expected_return_3d_pct,selection_lane,target_horizon_days,price_band,is_sub7,max_return_observed_pct,label_win_close,label_win_1d,label_win_3d,label_hit_5pct,label_hit_10pct,label_hit_20pct,label_hit_50pct,label_hit_100pct
23689,465770.KS,STX그린로지스,71.0,71.0,36.0,100.0,INTRADAY,UP,KR,2026-04-10T14:07:36.207317+00:00,⭐T2,✅ x1.6,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,77.5,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,23.0,60.0,unclassified,stock_master,blank,[],core_only,-8.02,-0.88,-1.22,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23688,109070.KS,주성코퍼레이션,72.0,72.0,36.1,100.0,INTRADAY,UP,KR,2026-04-10T14:07:29.503389+00:00,⭐T2,⚠️ x0.9,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,74.3,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,1.6,60.0,통신/네트워크,stock_master,inferred,[],core_only,-10.27,-1.13,-1.6,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23687,001260.KS,남광토건,72.0,72.0,31.7,100.0,INTRADAY,UP,KR,2026-04-10T14:07:23.814163+00:00,⚡T3,⚠️ x0.5,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,70.2,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,57.8,60.0,건설/부동산,stock_master,inferred,[],core_only,-12.69,-1.4,-2.01,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23686,004100.KS,태양금속,72.0,72.0,33.0,100.0,INTRADAY,UP,KR,2026-04-10T14:07:20.598139+00:00,⚡T3,⚠️ x0.7,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,70.4,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,62.2,60.0,자동차,stock_master,inferred,[],core_only,-13.75,-1.51,-2.19,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23685,007210.KS,벽산,72.0,72.0,32.9,100.0,INTRADAY,UP,KR,2026-04-10T14:07:17.670146+00:00,⚡T3,⚠️ x0.2,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,69.9,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,2.1,60.0,철강/금속/소재,stock_master,inferred,[],core_only,-14.1,-1.55,-2.25,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23684,012800.KS,대창,68.0,68.0,31.3,77.0,INTRADAY,UP,KR,2026-04-10T14:07:16.649861+00:00,⚡T3,⚠️ x0.8,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,64.8,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,49.3,60.0,철강/금속/소재,stock_master,inferred,[],core_only,-16.53,-1.82,-2.67,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23683,004140.KS,동방,72.0,72.0,33.6,100.0,INTRADAY,UP,KR,2026-04-10T14:07:15.89398+00:00,⭐T2,⚠️ x1.2,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,74.2,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,52.5,60.0,unclassified,stock_master,blank,[],core_only,-12.87,-1.42,-2.05,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23682,018470.KS,조일알미늄,73.0,73.0,38.0,40.0,INTRADAY,SIDE,KR,2026-04-10T14:07:10.032734+00:00,⚡T3,⚠️ x0.2,-,📈 Trend Continuation,-,🟡 Reclaim,⏱️ Intraday Breakout | 1H,67.9,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,52.6,60.0,철강/금속/소재,stock_master,inferred,[],core_only,-17.02,-1.87,-2.75,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23681,004960.KS,한신공영,86.0,86.0,38.9,68.0,INTRADAY,UP,KR,2026-04-10T14:07:09.691805+00:00,⭐T2,⚠️ x0.5,-,📈 Trend Continuation,-,🚀 Intraday Breakout,⏱️ Intraday Breakout | 1H,81.1,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,57.8,60.0,건설/부동산,stock_master,inferred,['소비재/유통'],core_only,-8.98,-0.99,-1.38,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23680,084680.KS,이월드,90.0,90.0,48.2,100.0,INTRADAY,UP,KR,2026-04-10T14:07:03.402504+00:00,🏆T1,✅ x14.5,-,⚡ High-Volume Breakout,-,🚀 Intraday Breakout,⏱️ Intraday Breakout | 1H,100.0,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,40.7,60.0,철강/금속/소재,stock_master,inferred,"['건설/부동산', '소비재/유통']",core_only,4.6,0.51,0.93,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23679,009470.KS,삼화전기,90.0,90.0,43.5,100.0,INTRADAY,UP,KR,2026-04-10T14:07:02.144912+00:00,🏆T1,✅ x2.4,-,⚡ High-Volume Breakout,-,🚀 Intraday Breakout,⏱️ Intraday Breakout | 1H,100.0,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,36.6,60.0,unclassified,stock_master,blank,[],core_only,1.04,0.11,0.33,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23678,008350.KS,남선알미늄,84.0,84.0,41.9,56.0,INTRADAY,UP,KR,2026-04-10T14:06:59.547275+00:00,⭐T2,⚠️ x0.3,-,📈 Trend Continuation,-,🚀 Intraday Breakout,⏱️ Intraday Breakout | 1H,82.9,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,2.2,60.0,철강/금속/소재,stock_master,inferred,[],core_only,-1.75,-0.19,-0.15,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23677,044450.KS,KSS해운,72.0,72.0,41.0,100.0,INTRADAY,UP,KR,2026-04-10T14:06:58.413102+00:00,🏆T1,✅ x4.3,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,94.0,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,35.9,60.0,조선/해양,stock_master,inferred,['철강/금속/소재'],core_only,0.56,0.06,0.25,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23676,002710.KS,TCC스틸,90.0,90.0,41.9,100.0,INTRADAY,UP,KR,2026-04-10T14:06:50.883942+00:00,🏆T1,⚠️ x0.8,-,-,-,🚀 Intraday Breakout,⏱️ Intraday Breakout | 1H,91.0,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,51.7,60.0,철강/금속/소재,stock_master,inferred,[],core_only,-3.87,-0.43,-0.51,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23675,006340.KS,대원전선,67.0,67.0,30.8,60.0,INTRADAY,UP,KR,2026-04-10T14:06:49.882105+00:00,⚡T3,⚠️ x0.4,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,60.3,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,64.7,60.0,통신/네트워크,stock_master,inferred,['건설/부동산'],core_only,-18.27,-2.01,-2.96,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23674,217590.KS,티엠씨,72.0,72.0,35.8,100.0,INTRADAY,UP,KR,2026-04-10T14:06:45.880845+00:00,⭐T2,⚠️ x1.2,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,77.5,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,50.7,60.0,친환경/에너지,stock_master,inferred,['조선/해양'],theme_shadow,-7.87,-0.87,-1.19,1d,1,unknown,0,,0,0,0,0,0,0,0,0
23673,010820.KS,퍼스텍,72.0,72.0,34.0,100.0,INTRADAY,UP,KR,2026-04-10T14:06:44.861015+00:00,⭐T2,⚠️ x0.5,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,74.6,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,KR_CORE,,,,False,phase25_kr_intraday_xgboost,phase25_kr_intraday_histgb,58.9,60.0,자동차,stock_master,inferred,[],core_only,-9.38,-1.03,-1.45,1d,1,unknown,0,,0,0,0,0,0,0,0,0
