id,ticker,stock_name,alpha_score,tech_score,ml_prob,whale_score,fund_status,trend,market_type,created_at,tier,volume,context,surge,win_rate,position,strategy,decision_score,run_id,priority_rank,decision,decision_bucket,outcome_status,recommended_at,outcome_recorded_at,horizon,base_trade_date,entry_reference_price,latest_return_pct,return_1d_pct,return_2d_pct,return_3d_pct,return_5d_pct,source_ref,scan_mode,return_30m_pct,return_1h_pct,return_close_pct,strategy_family,max_return_observed_pct,label_win_close,label_win_1d,label_win_3d,label_hit_5pct,label_hit_10pct,label_hit_20pct,label_hit_50pct,label_hit_100pct
687,WMT,WMT,63,63,53.6,72,INTRADAY,UP,US,2026-04-01T18:33:22.036671+00:00,⭐T2,✅ x1.7,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,78.2,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,US_MAIN,,0,0,0,0,0,0,0,0
685,TSLA,TSLA,69,69,47.8,77,INTRADAY,UP,US,2026-04-01T18:33:21.52295+00:00,⭐T2,⚠️ x0.7,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,76.6,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,US_MAIN,,0,0,0,0,0,0,0,0
686,META,META,72,72,49.9,96,INTRADAY,UP,US,2026-04-01T18:33:21.44612+00:00,⭐T2,⚠️ x1.1,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,84.1,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,US_MAIN,,0,0,0,0,0,0,0,0
683,AVGO,AVGO,70,70,50.6,91,INTRADAY,UP,US,2026-04-01T18:33:20.779511+00:00,⭐T2,⚠️ x1.2,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,82.9,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,US_MAIN,,0,0,0,0,0,0,0,0
684,GOOG,GOOG,88,88,64.4,92,INTRADAY,UP,US,2026-04-01T18:33:20.753755+00:00,🏆T1,⚠️ x1.4,-,📈 Trend Continuation,-,🚀 Intraday Breakout,⏱️ Intraday Breakout | 1H,100.0,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,US_MAIN,,0,0,0,0,0,0,0,0
682,GOOGL,GOOGL,88,88,63.6,91,INTRADAY,UP,US,2026-04-01T18:33:16.752079+00:00,🏆T1,⚠️ x1.3,-,📈 Trend Continuation,-,🚀 Intraday Breakout,⏱️ Intraday Breakout | 1H,100.0,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,US_MAIN,,0,0,0,0,0,0,0,0
680,AMZN,AMZN,68,68,51.4,83,INTRADAY,UP,US,2026-04-01T18:33:16.326158+00:00,⭐T2,⚠️ x1.3,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,80.7,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,US_MAIN,,0,0,0,0,0,0,0,0
681,MSFT,MSFT,67,67,50.6,78,INTRADAY,UP,US,2026-04-01T18:33:16.288047+00:00,⭐T2,⚠️ x1.2,-,📈 Trend Continuation,-,📈 Intraday Trend,⏱️ Intraday Trend | 1H,78.4,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,US_MAIN,,0,0,0,0,0,0,0,0
679,AAPL,AAPL,85,85,66.0,85,INTRADAY,UP,US,2026-04-01T18:33:15.556985+00:00,🏆T1,✅ x1.7,-,📈 Trend Continuation,-,🚀 Intraday Breakout,⏱️ Intraday Breakout | 1H,100.0,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,US_MAIN,,0,0,0,0,0,0,0,0
678,NVDA,NVDA,88,88,61.4,86,INTRADAY,UP,US,2026-04-01T18:33:15.534198+00:00,🏆T1,⚠️ x0.9,-,📈 Trend Continuation,-,🚀 Intraday Breakout,⏱️ Intraday Breakout | 1H,98.2,,,,unknown,,,,,,,,,,,,,INTRADAY,,,,US_MAIN,,0,0,0,0,0,0,0,0
