id,ticker,stock_name,alpha_score,tech_score,ml_prob,whale_score,fund_status,trend,market_type,created_at,tier,volume,context,surge,win_rate,position,strategy,decision_score,run_id,priority_rank,decision,decision_bucket,outcome_status,recommended_at,outcome_recorded_at,horizon,base_trade_date,entry_reference_price,latest_return_pct,return_1d_pct,return_2d_pct,return_3d_pct,return_5d_pct,source_ref,scan_mode,return_30m_pct,return_1h_pct,return_close_pct,strategy_family,return_7d_pct,market,quality_flags,validation_excluded,phase25_variant,phase25_shadow_variant,phase25_shadow_prob,phase25_recommended_threshold,primary_theme,theme_source,theme_inference_status,secondary_themes,theme_routing_path,expected_edge_score,expected_return_1d_pct,expected_return_3d_pct,inference_failed,target_tp_pct,stop_sl_pct,hold_days,regime_volatility_20d,regime_breadth_pct,kosdaq_chg,regime_avg_chg,volume_ratio,volume_confirmed,prob_clean,model_trace_status,model_error,feature_origin,feature_quality,feature_completeness,feature_missing_fields,validation_excluded_reason,is_dummy_data,phase25_prob,phase25_signal_direction,phase25_raw_auc,phase25_oos_auc,phase25_oos_win_rate_pct,phase25_oos_avg_return_pct,performance_updated_at,market_gate,scanner_timeframe_profile,kr_universe_role,selection_lane,rationale,theme_risk,model_prob_available_count,model_prob_mean,low_model_prob_score,low_prob_high_score,expected_edge_inversion_score,return_14d_pct,return_30d_pct,day_return_pct,conviction_score,loss_risk_score,relative_rank_score,relative_rank_pct,regime_adjusted_grade,relative_rank_model,max_high_return_5d_pct,hit_5pct_within_5d,hit_5pct_within_5d_at,swing_target_label_version,target_horizon_days,explosive_leader_flag,core_trend_flag,explosive_eligible,explosive_gate_reasons,price_band,is_sub7,max_return_observed_pct,min_return_observed_pct,target_definition,target_return_source,label_hit_5pct_within_5d,label_win_close,label_win_1d,label_win_3d,label_hit_5pct,label_hit_10pct,label_hit_20pct,label_hit_50pct,label_hit_100pct,label_stop_loss_3pct,label_stop_loss_5pct,marcap_band,learning_quality_tier,market2,trade_date,candidate_id,candidate_description,candidate_cohort,target_pct,stop_pct,horizon_days,source_proxy,ordered_target_before_stop,ordered_stop_before_target,ordered_terminal_status,ordered_target_hit_at,ordered_stop_hit_at,ordered_bars_observed,ordered_mfe_pct,ordered_mae_pct,ordered_entry_price,ordered_entry_date,archive_entry_divergence_pct,ordered_warnings
75761,003280.KS,흥아해운,65.0,,20.0,,,UP,KR,2026-04-01T16:16:28.357618+00:00,,,,,,,local_returns:return_2d_pct,105.18,RUN-F6CB4E70,2.0,WATCHLIST_ONLY,watchlist,RESOLVED,2026-04-01T16:16:28.357618+00:00,2026-04-06T14:30:09.167121+00:00,T+2D,2026-04-02,4470.0,-36.577181,-8.501119,-15.212528,-15.100671,-29.977629,local_returns:return_2d_pct,SWING,,,,,-23.266219,KOSPI,,True,,,,,,,,,,,,,,,,,,,,,,,20.6,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T09:59:38.257591+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,-30.760626,,,,,,,,,3.579418,False,,forward_high_within_5d_v1,3,0,1,1,['nan'],gt_15,0,-8.501119,-30.760626,forward_high_within_5d,source_ohlcv_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,all,KOSPI,2026-04-01,high_upside_top3_10v5,Higher target Top3 rule; strong proxy average return but weaker fold floor.,Top3,10.0,5.0,5,"{""fold_weighted_win_pct"": 78.947, ""fold_min_win_pct"": 62.5, ""fold_test_n_total"": 19, ""fold_avg_return_5d_pct"": 10.303}",True,False,target_before_stop,2026-04-02,,5,29.245283,-2.560647,3710.0,2026-04-01,20.4852,[]
75761,003280.KS,흥아해운,65.0,,20.0,,,UP,KR,2026-04-01T16:16:28.357618+00:00,,,,,,,local_returns:return_2d_pct,105.18,RUN-F6CB4E70,2.0,WATCHLIST_ONLY,watchlist,RESOLVED,2026-04-01T16:16:28.357618+00:00,2026-04-06T14:30:09.167121+00:00,T+2D,2026-04-02,4470.0,-36.577181,-8.501119,-15.212528,-15.100671,-29.977629,local_returns:return_2d_pct,SWING,,,,,-23.266219,KOSPI,,True,,,,,,,,,,,,,,,,,,,,,,,20.6,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T09:59:38.257591+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,-30.760626,,,,,,,,,3.579418,False,,forward_high_within_5d_v1,3,0,1,1,['nan'],gt_15,0,-8.501119,-30.760626,forward_high_within_5d,source_ohlcv_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,all,KOSPI,2026-04-01,strict_top5_core_8v4,Strict KOSPI Top5 core-trend rule from robust proxy search.,Top5,8.0,4.0,5,"{""fold_weighted_win_pct"": 78.947, ""fold_min_win_pct"": 71.429, ""fold_test_n_total"": 19, ""fold_avg_return_5d_pct"": 8.5147}",True,False,target_before_stop,2026-04-02,,5,29.245283,-2.560647,3710.0,2026-04-01,20.4852,[]
75761,003280.KS,흥아해운,65.0,,20.0,,,UP,KR,2026-04-01T16:16:28.357618+00:00,,,,,,,local_returns:return_2d_pct,105.18,RUN-F6CB4E70,2.0,WATCHLIST_ONLY,watchlist,RESOLVED,2026-04-01T16:16:28.357618+00:00,2026-04-06T14:30:09.167121+00:00,T+2D,2026-04-02,4470.0,-36.577181,-8.501119,-15.212528,-15.100671,-29.977629,local_returns:return_2d_pct,SWING,,,,,-23.266219,KOSPI,,True,,,,,,,,,,,,,,,,,,,,,,,20.6,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T09:59:38.257591+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,-30.760626,,,,,,,,,3.579418,False,,forward_high_within_5d_v1,3,0,1,1,['nan'],gt_15,0,-8.501119,-30.760626,forward_high_within_5d,source_ohlcv_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,all,KOSPI,2026-04-01,strict_top5_low_ml_10v5,Strict Top5 low-ML-prob rule that passed 10v5 proxy search.,Top5,10.0,5.0,5,"{""fold_weighted_win_pct"": 73.684, ""fold_min_win_pct"": 71.429, ""fold_test_n_total"": 19, ""fold_avg_return_5d_pct"": 6.2038}",True,False,target_before_stop,2026-04-02,,5,29.245283,-2.560647,3710.0,2026-04-01,20.4852,[]
75760,008350.KS,남선알미늄,72.0,,14.2,,,UP,KR,2026-04-01T16:16:28.357618+00:00,,,,,,,local_returns:return_2d_pct,112.36,RUN-F6CB4E70,1.0,WATCHLIST_ONLY,watchlist,RESOLVED,2026-04-01T16:16:28.357618+00:00,2026-04-06T14:30:09.167098+00:00,T+2D,2026-04-02,1780.0,8.202247,1.404494,19.662921,22.47191,21.629213,local_returns:return_2d_pct,SWING,,,,,60.955056,KOSPI,,True,,,,,,,,,,,,,,,,,,,,,,,20.2,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T09:59:38.256715+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,36.235955,,,,,,,,,39.606742,True,2026-04-03,forward_high_within_5d_v1,3,0,1,1,['nan'],gt_15,0,60.955056,1.404494,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-01,high_upside_top3_10v5,Higher target Top3 rule; strong proxy average return but weaker fold floor.,Top3,10.0,5.0,5,"{""fold_weighted_win_pct"": 78.947, ""fold_min_win_pct"": 62.5, ""fold_test_n_total"": 19, ""fold_avg_return_5d_pct"": 10.303}",True,False,target_before_stop,2026-04-02,,5,21.936275,-0.980392,1632.0,2026-04-01,9.0686,[]
75760,008350.KS,남선알미늄,72.0,,14.2,,,UP,KR,2026-04-01T16:16:28.357618+00:00,,,,,,,local_returns:return_2d_pct,112.36,RUN-F6CB4E70,1.0,WATCHLIST_ONLY,watchlist,RESOLVED,2026-04-01T16:16:28.357618+00:00,2026-04-06T14:30:09.167098+00:00,T+2D,2026-04-02,1780.0,8.202247,1.404494,19.662921,22.47191,21.629213,local_returns:return_2d_pct,SWING,,,,,60.955056,KOSPI,,True,,,,,,,,,,,,,,,,,,,,,,,20.2,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T09:59:38.256715+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,36.235955,,,,,,,,,39.606742,True,2026-04-03,forward_high_within_5d_v1,3,0,1,1,['nan'],gt_15,0,60.955056,1.404494,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-01,strict_top5_core_8v4,Strict KOSPI Top5 core-trend rule from robust proxy search.,Top5,8.0,4.0,5,"{""fold_weighted_win_pct"": 78.947, ""fold_min_win_pct"": 71.429, ""fold_test_n_total"": 19, ""fold_avg_return_5d_pct"": 8.5147}",True,False,target_before_stop,2026-04-02,,5,21.936275,-0.980392,1632.0,2026-04-01,9.0686,[]
75760,008350.KS,남선알미늄,72.0,,14.2,,,UP,KR,2026-04-01T16:16:28.357618+00:00,,,,,,,local_returns:return_2d_pct,112.36,RUN-F6CB4E70,1.0,WATCHLIST_ONLY,watchlist,RESOLVED,2026-04-01T16:16:28.357618+00:00,2026-04-06T14:30:09.167098+00:00,T+2D,2026-04-02,1780.0,8.202247,1.404494,19.662921,22.47191,21.629213,local_returns:return_2d_pct,SWING,,,,,60.955056,KOSPI,,True,,,,,,,,,,,,,,,,,,,,,,,20.2,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T09:59:38.256715+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,36.235955,,,,,,,,,39.606742,True,2026-04-03,forward_high_within_5d_v1,3,0,1,1,['nan'],gt_15,0,60.955056,1.404494,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-01,strict_top5_low_ml_10v5,Strict Top5 low-ML-prob rule that passed 10v5 proxy search.,Top5,10.0,5.0,5,"{""fold_weighted_win_pct"": 73.684, ""fold_min_win_pct"": 71.429, ""fold_test_n_total"": 19, ""fold_avg_return_5d_pct"": 6.2038}",True,False,target_before_stop,2026-04-02,,5,21.936275,-0.980392,1632.0,2026-04-01,9.0686,[]
75762,028050.KS,삼성E&A,65.0,,26.8,,,UP,KR,2026-04-01T16:16:28.357618+00:00,,,,,,,local_returns:return_2d_pct,103.37,RUN-F6CB4E70,3.0,WATCHLIST_ONLY,watchlist,RESOLVED,2026-04-01T16:16:28.357618+00:00,2026-04-06T14:30:09.167131+00:00,T+2D,2026-04-02,35100.0,50.997151,15.527066,30.05698,36.182336,46.153846,local_returns:return_2d_pct,SWING,,,,,41.168091,KOSPI,,True,,,,,,,,,,,,,,,,,,,,,,,25.6,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T09:59:38.258525+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,"['scanner_score=73.7', 'rank=90', '전략: ⏱️ Intraday Trend | 1H', '급등예측: 📈 Trend Continuation', '추세: UP']",,,,,,,44.159544,,,,,,,,,55.270655,True,2026-04-03,forward_high_within_5d_v1,3,0,1,1,['nan'],gt_15,0,46.153846,15.527066,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-01,high_upside_top3_10v5,Higher target Top3 rule; strong proxy average return but weaker fold floor.,Top3,10.0,5.0,5,"{""fold_weighted_win_pct"": 78.947, ""fold_min_win_pct"": 62.5, ""fold_test_n_total"": 19, ""fold_avg_return_5d_pct"": 10.303}",False,True,stop_before_target,,2026-04-02,5,2.37467,-8.311346,37900.0,2026-04-01,-7.3879,[]
75762,028050.KS,삼성E&A,65.0,,26.8,,,UP,KR,2026-04-01T16:16:28.357618+00:00,,,,,,,local_returns:return_2d_pct,103.37,RUN-F6CB4E70,3.0,WATCHLIST_ONLY,watchlist,RESOLVED,2026-04-01T16:16:28.357618+00:00,2026-04-06T14:30:09.167131+00:00,T+2D,2026-04-02,35100.0,50.997151,15.527066,30.05698,36.182336,46.153846,local_returns:return_2d_pct,SWING,,,,,41.168091,KOSPI,,True,,,,,,,,,,,,,,,,,,,,,,,25.6,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T09:59:38.258525+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,"['scanner_score=73.7', 'rank=90', '전략: ⏱️ Intraday Trend | 1H', '급등예측: 📈 Trend Continuation', '추세: UP']",,,,,,,44.159544,,,,,,,,,55.270655,True,2026-04-03,forward_high_within_5d_v1,3,0,1,1,['nan'],gt_15,0,46.153846,15.527066,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-01,strict_top5_core_8v4,Strict KOSPI Top5 core-trend rule from robust proxy search.,Top5,8.0,4.0,5,"{""fold_weighted_win_pct"": 78.947, ""fold_min_win_pct"": 71.429, ""fold_test_n_total"": 19, ""fold_avg_return_5d_pct"": 8.5147}",False,True,stop_before_target,,2026-04-02,5,2.37467,-8.311346,37900.0,2026-04-01,-7.3879,[]
75809,006400.KS,삼성SDI,66.0,,30.2,,,UP,KR,2026-04-06T14:00:06.440472+00:00,,,,,,,local_returns:return_2d_pct,112.04,RUN-FB59BB14,2.0,WATCHLIST_ONLY,watchlist,RESOLVED,2026-04-06T14:00:06.440472+00:00,2026-04-09T09:30:20.119549+00:00,T+2D,2026-04-06,453500.0,39.801544,0.661521,3.969129,5.84344,5.292172,local_returns:return_2d_pct,SWING,,,,,3.858875,KOSPI,,True,,,,,,,,,,,,,,,,,,,,,,,27.4,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T10:00:15.653122+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,41.345094,,,,,,,,,8.820287,True,2026-04-09,forward_high_within_5d_v1,3,0,1,1,['nan'],gt_15,0,41.345094,0.661521,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-06,high_upside_top3_10v5,Higher target Top3 rule; strong proxy average return but weaker fold floor.,Top3,10.0,5.0,5,"{""fold_weighted_win_pct"": 78.947, ""fold_min_win_pct"": 62.5, ""fold_test_n_total"": 19, ""fold_avg_return_5d_pct"": 10.303}",False,False,no_touch,,,5,8.820287,-1.874311,453500.0,2026-04-06,0.0,[]
75809,006400.KS,삼성SDI,66.0,,30.2,,,UP,KR,2026-04-06T14:00:06.440472+00:00,,,,,,,local_returns:return_2d_pct,112.04,RUN-FB59BB14,2.0,WATCHLIST_ONLY,watchlist,RESOLVED,2026-04-06T14:00:06.440472+00:00,2026-04-09T09:30:20.119549+00:00,T+2D,2026-04-06,453500.0,39.801544,0.661521,3.969129,5.84344,5.292172,local_returns:return_2d_pct,SWING,,,,,3.858875,KOSPI,,True,,,,,,,,,,,,,,,,,,,,,,,27.4,,,scanner_archive_outcome,incomplete,0.5,"['tech_score', 'whale_score', 'volume_ratio', 'position', 'tier']","FEATURE_MISSING:tech_score,whale_score,volume_ratio,position,tier",False,,,,,,,2026-05-13T10:00:15.653122+00:00,,DAILY_PRIMARY_WITH_1H_REFRESH,CORE_TREND,3d,,,,,,,,41.345094,,,,,,,,,8.820287,True,2026-04-09,forward_high_within_5d_v1,3,0,1,1,['nan'],gt_15,0,41.345094,0.661521,forward_high_within_5d,source_ohlcv_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,all,KOSPI,2026-04-06,strict_top5_core_8v4,Strict KOSPI Top5 core-trend rule from robust proxy search.,Top5,8.0,4.0,5,"{""fold_weighted_win_pct"": 78.947, ""fold_min_win_pct"": 71.429, ""fold_test_n_total"": 19, ""fold_avg_return_5d_pct"": 8.5147}",True,False,target_before_stop,2026-04-09,,5,8.820287,-1.874311,453500.0,2026-04-06,0.0,[]
