ticker,stock_name,market,signals,latest_scan_date,latest_price,avg_1d_pct,avg_2d_pct,avg_3d_pct,avg_5d_pct,win_3d_pct,win_5d_pct,atr20_pct_median,mfe_5d_pct_q35,mae_5d_pct_q60_abs,adaptive_stop_pct,safe_take_profit_pct,adaptive_stop_price,safe_take_profit_price,risk_reward_ratio
AAPL,Apple Inc,US,33,2026-02-27,269.3299865722656,-1.3494134587744508,-2.57969420605399,-2.953905521746332,-4.6704913037280384,0.0,3.0303030303030303,2.5186896927866096,0.7708190404114257,5.898946846056918,5.898946846056918,8.258525584479685,253.44235382387544,291.5726724200119,1.4
AMGN,Amgen Inc,US,24,2026-02-27,384.0400085449219,0.3015542860258129,0.47393484550969783,-0.4016488620289282,-2.557824859629068,41.66666666666667,0.0,2.556136488608414,1.8790026250093839,4.726753304636366,4.726753304636366,6.617454626490913,365.887384749899,409.4536818579539,1.4
ADI,Analog Devices Inc,US,24,2026-02-27,349.114990234375,-1.1260282446487617,-2.2248564243763482,-3.6818852106371303,-7.621045197338776,0.0,0.0,3.0223124272691146,0.14592136421866853,9.830931934802667,9.830931934802667,13.763304708723734,314.7937331702406,397.16475012416316,1.4
AMAT,Applied Materials Inc,US,24,2026-02-27,370.7200012207031,-3.4742340336104696,-5.241419980250632,-6.6075262668435535,-10.752412584021442,0.0,0.0,4.898727565149368,0.30284313507988103,14.126978271149875,14.126978271149875,19.777769579609824,318.3484672014478,444.0401488476605,1.4
009150.KS,삼성전기,KOSPI,18,2026-03-31,429000.0,13.967865513190832,22.355623874213986,25.11353200335831,28.57635851258604,76.47058823529412,76.47058823529412,4.626396648044693,33.46828347314946,14.378029079159926,14.378029079159926,33.46828347314946,367318.2552504039,572578.9360998111,2.3277379179639923
000660.KS,SK하이닉스,KOSPI,18,2026-02-27,1099000.0,5.624522492362837,4.54883989679632,7.39272152285104,13.266061268354198,77.77777777777779,72.22222222222221,5.173378076062639,21.25426286042724,0.11452184179457703,5.690715883668903,21.25426286042724,1036459.0324384787,1332584.3488360953,3.7349014245153715
066570.KS,LG전자,KOSPI,18,2026-03-31,108300.0,4.864746530581713,6.364410336811633,9.723851062239433,12.598265371048512,76.47058823529412,76.47058823529412,4.686209744013213,27.218430034129693,2.6450511945392385,5.1548307184145346,27.218430034129693,102717.31833195705,137777.55972696247,5.280179218475138
006400.KS,삼성SDI,KOSPI,18,2026-03-31,412500.0,5.600070539876885,2.3049409882415044,6.082042694926802,12.07585740914169,76.47058823529412,76.47058823529412,6.004901960784314,20.44954369749857,3.337783711615483,6.605392156862746,20.44954369749857,385252.7573529412,496854.36775218154,3.095886392793846
402340.KS,SK스퀘어,KOSPI,18,2026-02-27,679000.0,2.9644119503078556,1.6499765744665975,4.922417621707133,10.703501204384642,77.77777777777779,77.77777777777779,6.651943462897527,20.191323692992217,1.971326164874554,7.31713780918728,20.191323692992217,629316.6342756184,816099.0878754171,2.7594565278844847
006800.KS,미래에셋증권,KOSPI,18,2026-02-27,73600.0,8.029598554047189,3.95293887883898,1.9211711941769214,10.334301155330026,77.77777777777779,66.66666666666666,6.429019160908897,22.68181818181818,2.021192443919717,7.071921076999788,22.68181818181818,68395.06608732816,90293.81818181818,3.2073064638103657
