,Ticker,Reason,Alpha,Conviction,Prob5,Clean,Trend,Tier,Name,Market,Regime,ExceptionScore,RecommendException,ExceptionReasons,ProfilePolicy,ProfileAdjustment,ProfileConfidence,ProfileSignals,ProfileWin5D,ProfileAvg5D,ProfileRR
89,086450.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,57.0,58.9,41.5,34.1,,3,동국제약,KOSDAQ,BEAR,89.8,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;ALPHA_55_PLUS;CONVICTION_58_PLUS;PROB5_35_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,POSITIVE,8.8,0.602,3,100.0,0.3882418191902381,1.6
144,170920.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,45.0,60.5,37.7,29.3,,3,엘티씨,KOSDAQ,BEAR,82.8,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;ALPHA_45_PLUS;CONVICTION_58_PLUS;PROB5_35_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,POSITIVE,9.8,0.602,3,100.0,2.3076923076922995,1.6
111,100790.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,46.0,58.1,33.6,27.0,,3,미래에셋벤처투자,KOSDAQ,BEAR,77.0,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;ALPHA_45_PLUS;CONVICTION_58_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,POSITIVE,10.0,0.602,3,100.0,3.056768558951961,1.441896338955163
176,241520.KQ,KR_HARD_FILTER_FAIL,25.0,,,,UP,,DSC인베스트먼트,KOSDAQ,BEAR,76.0,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;PROFILE_EDGE_STRONG;TREND_UP,POSITIVE,22.0,0.602,3,100.0,37.44343891402715,1.6
216,347700.KQ,KR_HARD_FILTER_FAIL,27.0,,,,UP,,스피어,KOSDAQ,BEAR,76.0,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;PROFILE_EDGE_STRONG;TREND_UP,POSITIVE,22.0,0.602,3,100.0,55.1304347826087,1.6
227,361390.KQ,KR_HARD_FILTER_FAIL,34.0,,,,UP,,제노코,KOSDAQ,BEAR,73.9,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;PROFILE_EDGE_STRONG;TREND_UP,POSITIVE,19.9,0.602,3,100.0,20.992366412213737,1.6
194,289080.KQ,KR_HARD_FILTER_FAIL,38.0,,,,UP,,SV인베스트먼트,KOSDAQ,BEAR,73.5,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;PROFILE_EDGE_STRONG;TREND_UP,POSITIVE,19.5,0.602,3,100.0,20.22684310018903,1.6
85,083650.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,43.0,58.6,38.0,29.2,,3,비에이치아이,KOSDAQ,BEAR,72.5,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;CONVICTION_58_PLUS;PROB5_35_PLUS;CLEAN_25_PLUS;PRECISION_GATE_BORDERLINE,POSITIVE,9.5,0.602,3,100.0,1.75675675675675,1.6
100,095340.KQ,KR_HARD_FILTER_FAIL,33.0,,,,UP,,ISC,KOSDAQ,BEAR,70.5,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;PROFILE_EDGE_STRONG;TREND_UP,POSITIVE,16.5,0.602,3,100.0,14.717741935483875,1.6
253,425040.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,59.0,50.2,31.5,29.3,,3,티이엠씨,KOSDAQ,BEAR,69.7,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;ALPHA_55_PLUS;CLEAN_25_PLUS,POSITIVE,8.7,0.602,3,100.0,0.3164556962025333,1.6
74,073490.KQ,KR_HARD_FILTER_FAIL,21.0,,,,UP,,이노와이어리스,KOSDAQ,BEAR,69.2,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;PROFILE_EDGE_STRONG;TREND_UP,POSITIVE,15.2,0.602,3,100.0,12.300319488817893,1.6
8,010170.KQ,KR_HARD_FILTER_FAIL,30.0,,,,UP,,대한광통신,KOSDAQ,BEAR,67.9,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;PROFILE_EDGE_STRONG;TREND_UP,POSITIVE,13.9,0.602,3,100.0,9.872611464968164,1.6
147,178320.KQ,KR_HARD_FILTER_FAIL,2.0,,,,UP,,서진시스템,KOSDAQ,BEAR,58.0,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;TREND_UP,POSITIVE,12.0,0.602,3,100.0,6.3953488372092915,1.6
49,050890.KQ,KR_HARD_FILTER_FAIL,34.0,,,,UP,,쏠리드,KOSDAQ,BEAR,57.9,Y,POSITIVE_BEAR_PROFILE;PROFILE_WINRATE_STRONG;TREND_UP,POSITIVE,11.9,0.602,3,100.0,6.177156177156173,1.6
