trade_id,ledger_mode,ticker,stock_name,market,scan_mode,run_id,priority_rank,decision,decision_bucket,recommended_at,base_trade_date,entry_model,entry_reference_price,operational_entry_price,buy_premium_pct,target_tp_pct,stop_sl_pct,hold_days,exit_day,exit_reason,trade_status,gross_return_pct,net_return_pct,scan_reference_return_path,buy_premium_adjusted_return_path,fee_bps,slippage_bps,relative_rank_score,loss_risk_score,relative_rank_model,source_scan_result_id,created_at,data_warnings
RUN-08CDC5E4|AAPL|2026-03-30|1.0,close_to_close_shadow_buy_premium_v2,AAPL,AAPL,,SWING,RUN-08CDC5E4,1,WATCHLIST_ONLY,watchlist,2026-03-30T16:57:26.158157+00:00,2026-03-30,close_proxy,246.630005,251.562605,2.0,7.0,-5.0,3,3.0,TIME_EXIT,CLOSED,1.73213,1.73213,"[{'day': 1, 'return_pct': 2.903129}, {'day': 2, 'return_pct': 3.649191}, {'day': 3, 'return_pct': 3.766773}]","[{'day': 1, 'return_pct': 0.885421}, {'day': 2, 'return_pct': 1.616854}, {'day': 3, 'return_pct': 1.73213}]",0.0,0.0,,,,69529,2026-06-09T06:29:33.839800+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-EB3A5322|META|2026-03-30|1.0,close_to_close_shadow_buy_premium_v2,META,META,,SWING,RUN-EB3A5322,1,WATCHLIST,watchlist,2026-03-30T12:38:42.506756+00:00,2026-03-30,close_proxy,536.380005,547.107605,2.0,7.0,-5.0,3,3.0,TIME_EXIT,CLOSED,4.999459,4.999459,"[{'day': 1, 'return_pct': 6.665051}, {'day': 2, 'return_pct': 7.988735}, {'day': 3, 'return_pct': 7.099448}]","[{'day': 1, 'return_pct': 4.573579}, {'day': 2, 'return_pct': 5.871309}, {'day': 3, 'return_pct': 4.999459}]",0.0,0.0,,,,79753,2026-06-09T06:29:33.839832+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-9308E5A6|META|2026-03-30|1.0,close_to_close_shadow_buy_premium_v2,META,META,,SWING,RUN-9308E5A6,1,WATCHLIST,watchlist,2026-03-30T14:14:26.506022+00:00,2026-03-30,close_proxy,536.380005,547.107605,2.0,7.0,-5.0,3,3.0,TIME_EXIT,CLOSED,4.999459,4.999459,"[{'day': 1, 'return_pct': 6.665051}, {'day': 2, 'return_pct': 7.988735}, {'day': 3, 'return_pct': 7.099448}]","[{'day': 1, 'return_pct': 4.573579}, {'day': 2, 'return_pct': 5.871309}, {'day': 3, 'return_pct': 4.999459}]",0.0,0.0,,,,78769,2026-06-09T06:29:33.839850+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-54918D53|086450.KQ|2026-03-31|1.0,close_to_close_shadow_buy_premium_v2,086450.KQ,동국제약,,SWING,RUN-54918D53,1,WATCHLIST_ONLY,watchlist,2026-03-31T09:25:24.129227+00:00,2026-03-31,close_proxy,23600.0,24072.0,2.0,7.0,-5.0,3,1.0,TAKE_PROFIT_CLOSE_PROXY,CLOSED,7.0,7.0,"[{'day': 1, 'return_pct': 22.881356}, {'day': 2, 'return_pct': 18.008475}, {'day': 3, 'return_pct': 16.101695}]","[{'day': 1, 'return_pct': 20.471918}, {'day': 2, 'return_pct': 15.694583}, {'day': 3, 'return_pct': 13.825191}]",0.0,0.0,,,,107797,2026-06-09T06:29:33.839867+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-22964100|098070.KQ|2026-03-31|1.0,close_to_close_shadow_buy_premium_v2,098070.KQ,098070.KQ,,SWING,RUN-22964100,1,PRIORITY_WATCHLIST,picked,2026-03-30T22:56:36.775333+00:00,2026-03-31,close_proxy,48900.0,49878.0,2.0,7.0,-5.0,3,3.0,TIME_EXIT,CLOSED,-1.158827,-1.158827,"[{'day': 1, 'return_pct': -2.147239}, {'day': 2, 'return_pct': -0.920245}, {'day': 3, 'return_pct': 0.817996}]","[{'day': 1, 'return_pct': -4.065921}, {'day': 2, 'return_pct': -2.862985}, {'day': 3, 'return_pct': -1.158827}]",0.0,0.0,,,,71657,2026-06-09T06:29:33.839884+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-E5E8FACC|353200.KS|2026-03-31|1.0,close_to_close_shadow_buy_premium_v2,353200.KS,353200.KS,,SWING,RUN-E5E8FACC,1,PRIORITY_WATCHLIST,picked,2026-03-30T17:16:07.553227+00:00,2026-03-31,close_proxy,76700.0,78234.0,2.0,7.0,-5.0,3,1.0,TAKE_PROFIT_CLOSE_PROXY,CLOSED,7.0,7.0,"[{'day': 1, 'return_pct': 14.732725}, {'day': 2, 'return_pct': 4.693611}, {'day': 3, 'return_pct': 5.867014}]","[{'day': 1, 'return_pct': 12.483064}, {'day': 2, 'return_pct': 2.640795}, {'day': 3, 'return_pct': 3.79119}]",0.0,0.0,,,,75595,2026-06-09T06:29:33.839902+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-758DCA86|950160.KQ|2026-03-31|1.0,close_to_close_shadow_buy_premium_v2,950160.KQ,950160.KQ,,SWING,RUN-758DCA86,1,WATCHLIST_ONLY,watchlist,2026-03-31T07:38:10.39512+00:00,2026-03-31,close_proxy,106700.0,108834.0,2.0,7.0,-5.0,3,2.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-5.0,-5.0,"[{'day': 1, 'return_pct': 1.686973}, {'day': 2, 'return_pct': -6.185567}, {'day': 3, 'return_pct': -6.091846}]","[{'day': 1, 'return_pct': -0.306889}, {'day': 2, 'return_pct': -8.025066}, {'day': 3, 'return_pct': -7.933182}]",0.0,0.0,,,,78490,2026-06-09T06:29:33.839918+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-62451D58|950160.KQ|2026-03-31|1.0,close_to_close_shadow_buy_premium_v2,950160.KQ,950160.KQ,,SWING,RUN-62451D58,1,WATCHLIST_ONLY,watchlist,2026-03-31T07:53:46.180213+00:00,2026-03-31,close_proxy,106700.0,108834.0,2.0,7.0,-5.0,3,2.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-5.0,-5.0,"[{'day': 1, 'return_pct': 1.686973}, {'day': 2, 'return_pct': -6.185567}, {'day': 3, 'return_pct': -6.091846}]","[{'day': 1, 'return_pct': -0.306889}, {'day': 2, 'return_pct': -8.025066}, {'day': 3, 'return_pct': -7.933182}]",0.0,0.0,,,,74962,2026-06-09T06:29:33.839934+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-E5E8FACC|000210.KS|2026-03-31|2.0,close_to_close_shadow_buy_premium_v2,000210.KS,000210.KS,,SWING,RUN-E5E8FACC,2,PRIORITY_WATCHLIST,picked,2026-03-30T17:16:07.553227+00:00,2026-03-31,close_proxy,60400.0,61608.0,2.0,7.0,-5.0,3,2.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-5.0,-5.0,"[{'day': 1, 'return_pct': 3.807947}, {'day': 2, 'return_pct': -5.794702}, {'day': 3, 'return_pct': -1.490066}]","[{'day': 1, 'return_pct': 1.772497}, {'day': 2, 'return_pct': -7.641865}, {'day': 3, 'return_pct': -3.421633}]",0.0,0.0,,,,75596,2026-06-09T06:29:33.839949+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-62451D58|028300.KQ|2026-03-31|2.0,close_to_close_shadow_buy_premium_v2,028300.KQ,028300.KQ,,SWING,RUN-62451D58,2,WATCHLIST_ONLY,watchlist,2026-03-31T07:53:46.180213+00:00,2026-03-31,close_proxy,50600.0,51612.0,2.0,7.0,-5.0,3,3.0,TIME_EXIT,CLOSED,-0.992018,-0.992018,"[{'day': 1, 'return_pct': 4.940711}, {'day': 2, 'return_pct': 0.790514}, {'day': 3, 'return_pct': 0.988142}]","[{'day': 1, 'return_pct': 2.88305}, {'day': 2, 'return_pct': -1.185771}, {'day': 3, 'return_pct': -0.992018}]",0.0,0.0,,,,74963,2026-06-09T06:29:33.839970+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-49862268|086450.KQ|2026-03-31|2.0,close_to_close_shadow_buy_premium_v2,086450.KQ,동국제약,,SWING,RUN-49862268,2,WATCHLIST_ONLY,watchlist,2026-03-31T09:30:44.210812+00:00,2026-03-31,close_proxy,23600.0,24072.0,2.0,7.0,-5.0,3,1.0,TAKE_PROFIT_CLOSE_PROXY,CLOSED,7.0,7.0,"[{'day': 1, 'return_pct': 22.881356}, {'day': 2, 'return_pct': 18.008475}, {'day': 3, 'return_pct': 16.101695}]","[{'day': 1, 'return_pct': 20.471918}, {'day': 2, 'return_pct': 15.694583}, {'day': 3, 'return_pct': 13.825191}]",0.0,0.0,,,,107681,2026-06-09T06:29:33.839986+00:00,['MISSING_RELATIVE_RANK_MODEL']
