trade_id,ledger_mode,ticker,stock_name,market,scan_mode,run_id,priority_rank,decision,decision_bucket,recommended_at,base_trade_date,entry_model,entry_reference_price,operational_entry_price,buy_premium_pct,target_tp_pct,stop_sl_pct,hold_days,exit_day,exit_reason,trade_status,gross_return_pct,net_return_pct,scan_reference_return_path,buy_premium_adjusted_return_path,fee_bps,slippage_bps,relative_rank_score,loss_risk_score,relative_rank_model,source_scan_result_id,created_at,data_warnings
RUN-10E7C6A3|298040.KS|2026-04-01|4.0,close_to_close_shadow_buy_premium_v2,298040.KS,효성중공업,KOSPI,SWING,RUN-10E7C6A3,4,WATCHLIST,watchlist,2026-04-01T13:25:49.396045+00:00,2026-04-01,close_proxy,2653000.0,2706060.0,2.0,20.0,-5.0,3,1.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-5.0,-5.0,"[{'day': 1, 'return_pct': -5.088579}, {'day': 2, 'return_pct': -3.505466}, {'day': 3, 'return_pct': -0.753864}]","[{'day': 1, 'return_pct': -6.949587}, {'day': 2, 'return_pct': -5.397516}, {'day': 3, 'return_pct': -2.699867}]",0.0,0.0,,,,688,2026-06-09T06:29:51.783042+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-F6CB4E70|008350.KS|2026-04-02|1.0,close_to_close_shadow_buy_premium_v2,008350.KS,남선알미늄,KOSPI,SWING,RUN-F6CB4E70,1,WATCHLIST_ONLY,watchlist,2026-04-01T16:16:28.357618+00:00,2026-04-02,close_proxy,1780.0,1815.6,2.0,20.0,-5.0,3,3.0,TAKE_PROFIT_CLOSE_PROXY,CLOSED,20.0,20.0,"[{'day': 1, 'return_pct': 1.404494}, {'day': 2, 'return_pct': 19.662921}, {'day': 3, 'return_pct': 22.47191}]","[{'day': 1, 'return_pct': -0.583829}, {'day': 2, 'return_pct': 17.316589}, {'day': 3, 'return_pct': 20.0705}]",0.0,0.0,,,,75760,2026-06-09T06:29:51.783071+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-F6CB4E70|003280.KS|2026-04-02|2.0,close_to_close_shadow_buy_premium_v2,003280.KS,흥아해운,KOSPI,SWING,RUN-F6CB4E70,2,WATCHLIST_ONLY,watchlist,2026-04-01T16:16:28.357618+00:00,2026-04-02,close_proxy,4470.0,4559.4,2.0,20.0,-5.0,3,1.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-5.0,-5.0,"[{'day': 1, 'return_pct': -8.501119}, {'day': 2, 'return_pct': -15.212528}, {'day': 3, 'return_pct': -15.100671}]","[{'day': 1, 'return_pct': -10.295215}, {'day': 2, 'return_pct': -16.875027}, {'day': 3, 'return_pct': -16.765364}]",0.0,0.0,,,,75761,2026-06-09T06:29:51.783091+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-F6CB4E70|028050.KS|2026-04-02|3.0,close_to_close_shadow_buy_premium_v2,028050.KS,삼성E&A,KOSPI,SWING,RUN-F6CB4E70,3,WATCHLIST_ONLY,watchlist,2026-04-01T16:16:28.357618+00:00,2026-04-02,close_proxy,35100.0,35802.0,2.0,20.0,-5.0,3,2.0,TAKE_PROFIT_CLOSE_PROXY,CLOSED,20.0,20.0,"[{'day': 1, 'return_pct': 15.527066}, {'day': 2, 'return_pct': 30.05698}, {'day': 3, 'return_pct': 36.182336}]","[{'day': 1, 'return_pct': 13.261829}, {'day': 2, 'return_pct': 27.506843}, {'day': 3, 'return_pct': 33.512094}]",0.0,0.0,,,,75762,2026-06-09T06:29:51.783109+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-F6CB4E70|006110.KS|2026-04-02|4.0,close_to_close_shadow_buy_premium_v2,006110.KS,삼아알미늄,KOSPI,SWING,RUN-F6CB4E70,4,WATCHLIST_ONLY,watchlist,2026-04-01T16:16:28.357618+00:00,2026-04-02,close_proxy,34150.0,34833.0,2.0,20.0,-5.0,3,3.0,TIME_EXIT,CLOSED,3.780897,3.780897,"[{'day': 1, 'return_pct': 5.417277}, {'day': 2, 'return_pct': 11.273792}, {'day': 3, 'return_pct': 5.856515}]","[{'day': 1, 'return_pct': 3.350272}, {'day': 2, 'return_pct': 9.091953}, {'day': 3, 'return_pct': 3.780897}]",0.0,0.0,,,,75763,2026-06-09T06:29:51.783126+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-F6CB4E70|375500.KS|2026-04-02|5.0,close_to_close_shadow_buy_premium_v2,375500.KS,DL이앤씨,KOSPI,SWING,RUN-F6CB4E70,5,WATCHLIST_ONLY,watchlist,2026-04-01T16:16:28.357618+00:00,2026-04-02,close_proxy,68100.0,69462.0,2.0,20.0,-5.0,3,3.0,TIME_EXIT,CLOSED,8.836486,8.836486,"[{'day': 1, 'return_pct': 10.132159}, {'day': 2, 'return_pct': 13.362702}, {'day': 3, 'return_pct': 11.013216}]","[{'day': 1, 'return_pct': 7.972705}, {'day': 2, 'return_pct': 11.139904}, {'day': 3, 'return_pct': 8.836486}]",0.0,0.0,,,,75764,2026-06-09T06:29:51.783150+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-95DB0257|008350.KS|2026-04-03|1.0,close_to_close_shadow_buy_premium_v2,008350.KS,남선알미늄,KOSPI,SWING,RUN-95DB0257,1,WATCHLIST_ONLY,watchlist,2026-04-02T15:45:40.853433+00:00,2026-04-03,close_proxy,1805.0,1841.1,2.0,20.0,-5.0,3,3.0,TIME_EXIT,CLOSED,11.889631,11.889631,"[{'day': 1, 'return_pct': 18.00554}, {'day': 2, 'return_pct': 20.775623}, {'day': 3, 'return_pct': 14.127424}]","[{'day': 1, 'return_pct': 15.691706}, {'day': 2, 'return_pct': 18.407474}, {'day': 3, 'return_pct': 11.889631}]",0.0,0.0,,,,75155,2026-06-09T06:29:51.783174+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-95DB0257|005010.KS|2026-04-03|2.0,close_to_close_shadow_buy_premium_v2,005010.KS,휴스틸,KOSPI,SWING,RUN-95DB0257,2,WATCHLIST_ONLY,watchlist,2026-04-02T15:45:40.853433+00:00,2026-04-03,close_proxy,6090.0,6211.8,2.0,20.0,-5.0,3,1.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-5.0,-5.0,"[{'day': 1, 'return_pct': -7.71757}, {'day': 2, 'return_pct': -9.852217}, {'day': 3, 'return_pct': -7.553366}]","[{'day': 1, 'return_pct': -9.527029}, {'day': 2, 'return_pct': -11.619821}, {'day': 3, 'return_pct': -9.366045}]",0.0,0.0,,,,75156,2026-06-09T06:29:51.783191+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-95DB0257|322000.KS|2026-04-03|3.0,close_to_close_shadow_buy_premium_v2,322000.KS,HD현대에너지솔루션,KOSPI,SWING,RUN-95DB0257,3,WATCHLIST_ONLY,watchlist,2026-04-02T15:45:40.853433+00:00,2026-04-03,close_proxy,191100.0,194922.0,2.0,20.0,-5.0,3,1.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-5.0,-5.0,"[{'day': 1, 'return_pct': -5.494505}, {'day': 2, 'return_pct': -11.669283}, {'day': 3, 'return_pct': -10.308739}]","[{'day': 1, 'return_pct': -7.347554}, {'day': 2, 'return_pct': -13.401258}, {'day': 3, 'return_pct': -12.067391}]",0.0,0.0,,,,75157,2026-06-09T06:29:51.783208+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-95DB0257|001120.KS|2026-04-03|4.0,close_to_close_shadow_buy_premium_v2,001120.KS,LX인터내셔널,KOSPI,SWING,RUN-95DB0257,4,WATCHLIST_ONLY,watchlist,2026-04-02T15:45:40.853433+00:00,2026-04-03,close_proxy,53100.0,54162.0,2.0,20.0,-5.0,3,2.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-5.0,-5.0,"[{'day': 1, 'return_pct': -1.694915}, {'day': 2, 'return_pct': -4.708098}, {'day': 3, 'return_pct': -13.088512}]","[{'day': 1, 'return_pct': -3.622466}, {'day': 2, 'return_pct': -6.576567}, {'day': 3, 'return_pct': -14.792659}]",0.0,0.0,,,,75158,2026-06-09T06:29:51.783225+00:00,['MISSING_RELATIVE_RANK_MODEL']
RUN-95DB0257|267250.KS|2026-04-03|5.0,close_to_close_shadow_buy_premium_v2,267250.KS,HD현대,KOSPI,SWING,RUN-95DB0257,5,WATCHLIST_ONLY,watchlist,2026-04-02T15:45:40.853433+00:00,2026-04-03,close_proxy,245000.0,249900.0,2.0,20.0,-5.0,3,2.0,STOP_LOSS_CLOSE_PROXY,CLOSED,-5.0,-5.0,"[{'day': 1, 'return_pct': -0.816327}, {'day': 2, 'return_pct': -3.469388}, {'day': 3, 'return_pct': 2.44898}]","[{'day': 1, 'return_pct': -2.761105}, {'day': 2, 'return_pct': -5.362145}, {'day': 3, 'return_pct': 0.440176}]",0.0,0.0,,,,75159,2026-06-09T06:29:51.783245+00:00,['MISSING_RELATIVE_RANK_MODEL']
